# Time (s), DUT (V)
6.161232492997199986e-09,2.491115569759570162e-03
6.181236494597839931e-09,1.926157399415380066e-03
6.201240496198479877e-09,1.451866597883889973e-03
6.221244497799119822e-09,1.086236265737759894e-03
6.241248499399759768e-09,8.416839433264929537e-04
6.261252501000399713e-09,7.245075125582150491e-04
6.281256502601039659e-09,7.346766373665150054e-04
6.301260504201679604e-09,8.659691023083199808e-04
6.321264505802320377e-09,1.106441178446250072e-03
6.341268507402960322e-09,1.439201617625150004e-03
6.361272509003600268e-09,1.843441248860119928e-03
6.381276510604240213e-09,2.295655503488690154e-03
6.401280512204880159e-09,2.770986423601809901e-03
6.421284513805520104e-09,3.244604462870729917e-03
6.441288515406160050e-09,3.693049038506250169e-03
6.461292517006799995e-09,4.095450399742939750e-03
6.481296518607439941e-09,4.434563692518409678e-03
6.501300520208079886e-09,4.697558578017050138e-03
6.521304521808719832e-09,4.876523600805300271e-03
6.541308523409359777e-09,4.968662686196420424e-03
6.561312525009999723e-09,4.976180519280510271e-03
6.581316526610639668e-09,4.905872890139749594e-03
6.601320528211279613e-09,4.768456160231960422e-03
6.621324529811920386e-09,4.577685677429630361e-03
6.641328531412560332e-09,4.349325263233469983e-03
6.661332533013210203e-09,4.100038057427750349e-03
6.681336534613850149e-09,3.846272542168540070e-03
6.701340536214490094e-09,3.603216289738009857e-03
6.721344537815130040e-09,3.383884006001499842e-03
6.741348539415769985e-09,3.198396199648790173e-03
6.761352541016409931e-09,3.053490994707149832e-03
6.781356542617049876e-09,2.952295150293330044e-03
6.801360544217689822e-09,2.894362355826199818e-03
6.821364545818329767e-09,2.875968528921359849e-03
6.841368547418969713e-09,2.890636374111430016e-03
6.861372549019609658e-09,2.929846020518600113e-03
6.881376550620249603e-09,2.983876168839310044e-03
6.901380552220890376e-09,3.042711662308249937e-03
6.921384553821530322e-09,3.096949317188239965e-03
6.941388555422170267e-09,3.138634475682260030e-03
6.961392557022810213e-09,3.161966035799739904e-03
6.981396558623450158e-09,3.163817315403219792e-03
7.001400560224090103e-09,3.144033379832310206e-03
7.021404561824730049e-09,3.105481514462439877e-03
7.041408563425369994e-09,3.053849276195179981e-03
7.061412565026009940e-09,2.997202811114760019e-03
7.081416566626649885e-09,2.945335639196299937e-03
7.101420568227289831e-09,2.908953679880079898e-03
7.121424569827929776e-09,2.898754844539380184e-03
7.141428571428569722e-09,2.924470165256520034e-03
7.161432573029209667e-09,2.993937528839740129e-03
7.181436574629849613e-09,3.112278303256720089e-03
7.201440576230490385e-09,3.281241465033740094e-03
7.221444577831130331e-09,3.498769573422170088e-03
7.241448579431770276e-09,3.758826711462679836e-03
7.261452581032410222e-09,4.051511221375480275e-03
7.281456582633050167e-09,4.363456813286470219e-03
7.301460584233690113e-09,4.678505681942460304e-03
7.321464585834330058e-09,4.978617950243529981e-03
7.341468587434970004e-09,5.244964377038119872e-03
7.361472589035609949e-09,5.459135018855990062e-03
7.381476590636249895e-09,5.604386434945809667e-03
7.401480592236899766e-09,5.666844831992020291e-03
7.421484593837539712e-09,5.636582709437149875e-03
7.441488595438179657e-09,5.508492198281570232e-03
7.461492597038820430e-09,5.282889139135369706e-03
7.481496598639460375e-09,4.965797428791130300e-03
7.501500600240100321e-09,4.568882376291629605e-03
7.521504601840740266e-09,4.109023587335149975e-03
7.541508603441380212e-09,3.607540889838899839e-03
7.561512605042020157e-09,3.089109568154840054e-03
7.581516606642660103e-09,2.580422219599370123e-03
7.601520608243300048e-09,2.108672496362110071e-03
7.621524609843939994e-09,1.699949629385249942e-03
7.641528611444579939e-09,1.377640981222509999e-03
7.661532613045219885e-09,1.160942290723279962e-03
7.681536614645859830e-09,1.063571465860490076e-03
7.701540616246499776e-09,1.092771852294499926e-03
7.721544617847139721e-09,1.248675342033530060e-03
7.741548619447779667e-09,1.524075341104750084e-03
7.761552621048419612e-09,1.904635655783890090e-03
7.781556622649059557e-09,2.369535200511019984e-03
7.801560624249699503e-09,2.892521658114179800e-03
7.821564625850339448e-09,3.443321482749490178e-03
7.841568627450979394e-09,3.989330542519820000e-03
7.861572629051619339e-09,4.497490732006759716e-03
7.881576630652259285e-09,4.936244294628219613e-03
7.901580632252899230e-09,5.277450321846690294e-03
7.921584633853539176e-09,5.498147507093149693e-03
7.941588635454180776e-09,5.582053880253220156e-03
7.961592637054820721e-09,5.520707657244680253e-03
7.981596638655460667e-09,5.314172813226660311e-03
8.001600640256100612e-09,4.971257450287949915e-03
8.021604641856740558e-09,4.509221082391150215e-03
8.041608643457380503e-09,3.952976963551940032e-03
8.061612645058020448e-09,3.333825758018710197e-03
8.081616646658660394e-09,2.687767949322589917e-03
8.101620648259300339e-09,2.053870633138640215e-03
8.121624649859940285e-09,1.471011808247639973e-03
8.141628651460580230e-09,9.762550787024479705e-04
8.161632653061220176e-09,6.043794501522619777e-04
8.181636654661870047e-09,3.828723174253029779e-04
8.201640656262509993e-09,3.305555956518089729e-04
8.221644657863149938e-09,4.596253804190689857e-04
8.241648659463789884e-09,7.706315159219550345e-04
8.261652661064429829e-09,1.254537895453140036e-03
8.281656662665069775e-09,1.892399338592719955e-03
8.301660664265709720e-09,2.656257879471179886e-03
8.321664665866349666e-09,3.510514542890840091e-03
8.341668667466989611e-09,4.413751673671239932e-03
8.361672669067629557e-09,5.320907233226370228e-03
8.381676670668269502e-09,6.185681198875759776e-03
8.401680672268909448e-09,6.963039743464660355e-03
8.421684673869549393e-09,7.611676138743170110e-03
8.441688675470189339e-09,8.096288763407460606e-03
8.461692677070829284e-09,8.389546172621770506e-03
8.481696678671469230e-09,8.473626381859240136e-03
8.501700680272109175e-09,8.341241361682440181e-03
8.521704681872750775e-09,7.996086859832810326e-03
8.541708683473390720e-09,7.452690372224539915e-03
8.561712685074030666e-09,6.735664466372699721e-03
8.581716686674670611e-09,5.878406704167430177e-03
8.601720688275310557e-09,4.921319116541420131e-03
8.621724689875950502e-09,3.909647683952370036e-03
8.641728691476590448e-09,2.891063954440279988e-03
8.661732693077230393e-09,1.913125508264480095e-03
8.681736694677870339e-09,1.020758598727730020e-03
8.701740696278510284e-09,2.539045769941020202e-04
8.721744697879150230e-09,-3.545382447755220079e-04
8.741748699479790175e-09,-7.803632248852230288e-04
8.761752701080430121e-09,-1.009204620969899940e-03
8.781756702681070066e-09,-1.037126830601780040e-03
8.801760704281710011e-09,-8.706257682583640233e-04
8.821764705882349957e-09,-5.260486695918590531e-04
8.841768707482989902e-09,-2.847221383174490089e-05
8.861772709083629848e-09,5.898900957881310402e-04
8.881776710684269793e-09,1.291653679635300107e-03
8.901780712284909739e-09,2.036483401967189959e-03
8.921784713885559611e-09,2.783436895487580165e-03
8.941788715486199556e-09,3.493293003197249936e-03
8.961792717086839501e-09,4.130730114675329988e-03
