Column1,Column2
1.20224E-08,-0.003459036
1.20424E-08,-0.000338478
1.20624E-08,0.002887877
1.20824E-08,0.006122324
1.21024E-08,0.009261531
1.21224E-08,0.012200658
1.21424E-08,0.014837714
1.21624E-08,0.017077912
1.21824E-08,0.018837851
1.22024E-08,0.02004929
1.22224E-08,0.020662352
1.22424E-08,0.020647989
1.22625E-08,0.019999575
1.22825E-08,0.018733561
1.23025E-08,0.016889138
1.23225E-08,0.014526913
1.23425E-08,0.011726666
1.23625E-08,0.00858427
1.23825E-08,0.005207917
1.24025E-08,0.001713822
1.24225E-08,-0.001778408
1.24425E-08,-0.005150525
1.24625E-08,-0.008290301
1.24825E-08,-0.011095888
1.25025E-08,-0.013479689
1.25225E-08,-0.015371564
1.25425E-08,-0.016721242
1.25625E-08,-0.017499837
1.25825E-08,-0.017700419
1.26025E-08,-0.017337621
1.26225E-08,-0.016446336
1.26425E-08,-0.015079562
1.26625E-08,-0.013305534
1.26825E-08,-0.011204276
1.27025E-08,-0.008863765
1.27225E-08,-0.006375878
1.27425E-08,-0.003832342
1.27626E-08,-0.001320863
1.27826E-08,0.001078387
1.28026E-08,0.003295747
1.28226E-08,0.005274409
1.28426E-08,0.006972011
1.28626E-08,0.008361441
1.28826E-08,0.009430835
1.29026E-08,0.01018281
1.29226E-08,0.01063299
1.29426E-08,0.010807945
1.29626E-08,0.010742673
1.29826E-08,0.010477773
1.30026E-08,0.010056496
1.30226E-08,0.009521829
1.30426E-08,0.008913787
1.30626E-08,0.008267062
1.30826E-08,0.00760916
1.31026E-08,0.006959109
1.31226E-08,0.006326827
1.31426E-08,0.005713137
1.31626E-08,0.005110452
1.31826E-08,0.004504044
1.32026E-08,0.003873825
1.32226E-08,0.003196516
1.32426E-08,0.00244806
1.32627E-08,0.001606129
1.32827E-08,0.000652554
1.33027E-08,-0.000424477
1.33227E-08,-0.00162859
1.33427E-08,-0.002953904
1.33627E-08,-0.004384294
1.33827E-08,-0.00589332
1.34027E-08,-0.007444814
1.34227E-08,-0.008994141
1.34427E-08,-0.010490037
1.34627E-08,-0.011876966
1.34827E-08,-0.01309784
1.35027E-08,-0.01409697
1.35227E-08,-0.014823071
1.35427E-08,-0.015232155
1.35627E-08,-0.015290131
1.35827E-08,-0.014974978
1.36027E-08,-0.014278322
1.36227E-08,-0.01320636
1.36427E-08,-0.01178002
1.36627E-08,-0.010034367
1.36827E-08,-0.008017257
1.37027E-08,-0.005787311
1.37227E-08,-0.003411307
1.37427E-08,-0.000961124
1.37628E-08,0.001489579
1.37828E-08,0.003868792
1.38028E-08,0.006109475
1.38228E-08,0.008152603
1.38428E-08,0.009949749
1.38628E-08,0.01146506
1.38828E-08,0.012676513
1.39028E-08,0.013576378
1.39228E-08,0.014170854
1.39428E-08,0.014478904
1.39628E-08,0.014530352
1.39828E-08,0.014363362
1.40028E-08,0.014021448
1.40228E-08,0.013550188
1.40428E-08,0.012993863
1.40628E-08,0.012392209
