# Time (s), DUT (V)
8.561712685074030666e-09,6.400976796858840259e-03
8.581716686674670611e-09,5.542732087338689967e-03
8.601720688275310557e-09,4.618116916874540068e-03
8.621724689875950502e-09,3.671736674840869914e-03
8.641728691476590448e-09,2.748256829733149945e-03
8.661732693077230393e-09,1.890016076042109897e-03
8.681736694677870339e-09,1.134802702848239971e-03
8.701740696278510284e-09,5.139183831963789603e-04
8.721744697879150230e-09,5.063607951003499771e-05
8.741748699479790175e-09,-2.408648487442809961e-04
8.761752701080430121e-09,-3.560315547439579982e-04
8.781756702681070066e-09,-2.999151710486459952e-04
8.801760704281710011e-09,-8.660185329476799399e-05
8.821764705882349957e-09,2.618618576344289750e-04
8.841768707482989902e-09,7.169795153495710357e-04
8.861772709083629848e-09,1.245656480013099948e-03
8.881776710684269793e-09,1.812279250430029985e-03
8.901780712284909739e-09,2.380896660532089929e-03
8.921784713885559611e-09,2.917372578662849950e-03
8.941788715486199556e-09,3.391382906866570197e-03
8.961792717086839501e-09,3.778140363058280198e-03
8.981796718687469521e-09,4.059748056731049722e-03
9.001800720288109466e-09,4.226106147365030208e-03
9.021804721888759338e-09,4.275323475177029812e-03
9.041808723489399283e-09,4.213616295272740175e-03
9.061812725090039229e-09,4.054707298578459976e-03
9.081816726690679174e-09,3.818768097892119920e-03
9.101820728291320774e-09,3.530975499362670137e-03
9.121824729891960720e-09,3.219774556380710067e-03
9.141828731492600665e-09,2.914958278746910148e-03
9.161832733093240611e-09,2.645683967996110154e-03
9.181836734693880556e-09,2.438548906778039826e-03
9.201840736294520501e-09,2.315843431161100033e-03
9.221844737895160447e-09,2.294087594563069994e-03
9.241848739495800392e-09,2.382939456841690062e-03
9.261852741096440338e-09,2.584539646488119829e-03
9.281856742697080283e-09,2.893329703554440007e-03
9.301860744297720229e-09,3.296352489127100157e-03
9.321864745898360174e-09,3.774013434893809874e-03
9.341868747499000120e-09,4.301253400092779761e-03
9.361872749099640065e-09,4.849059098054960167e-03
9.381876750700280011e-09,5.386216939257489587e-03
9.401880752300919956e-09,5.881201906694579623e-03
9.421884753901559902e-09,6.304085560149280329e-03
9.441888755502199847e-09,6.628346871307039777e-03
9.461892757102839793e-09,6.832476296765680260e-03
9.481896758703479738e-09,6.901276841722140364e-03
9.501900760304119684e-09,6.826784991449339965e-03
9.521904761904759629e-09,6.608758079640210392e-03
9.541908763505399575e-09,6.254701440112979578e-03
9.561912765106039520e-09,5.779436888605920392e-03
9.581916766706679465e-09,5.204241966285099753e-03
9.601920768307319411e-09,4.555615238086349952e-03
9.621924769907959356e-09,3.863745205421730000e-03
9.641928771508599302e-09,3.160777723784429991e-03
9.661932773109239247e-09,2.478988184085120089e-03
9.681936774709879193e-09,1.848969469262370068e-03
9.701940776310520793e-09,1.297944594639479894e-03
9.721944777911160738e-09,8.482657411753080417e-04
9.741948779511800684e-09,5.158444796533889504e-04
9.761952781112450555e-09,3.125310771389269802e-04
9.781956782713090501e-09,2.383096306884770004e-04
9.801960784313730446e-09,2.884887119760670172e-04
9.821964785914370392e-09,4.538575376533120101e-04
9.841968787515010337e-09,7.167514384887140435e-04
9.861972789115650283e-09,1.055982540446979935e-03
9.881976790716290228e-09,1.447273316253790089e-03
9.901980792316930174e-09,1.864903265677980053e-03
9.921984793917570119e-09,2.283350732402210023e-03
9.941988795518210065e-09,2.678878130277880052e-03
9.961992797118850010e-09,3.030962655606250170e-03
9.981996798719489955e-09,3.323484814379449974e-03
1.000200080032010012e-08,3.545603507073149998e-03
1.002200480192079962e-08,3.692267152099019956e-03
1.004200880352139987e-08,3.764334051930559935e-03
1.006201280512200011e-08,3.768300394620009881e-03
1.008201680672269961e-08,3.715659337043329940e-03
1.010202080832329985e-08,3.621937952613079985e-03
1.012202480992399935e-08,3.505478982123669957e-03
1.014202881152459959e-08,3.386050048194789996e-03
1.016203281312530075e-08,3.283373316178620199e-03
1.018203681472589934e-08,3.215672889298359927e-03
1.020204081632649958e-08,3.198335280144759887e-03
1.022204481792720073e-08,3.242770268870580168e-03
1.024204881952779932e-08,3.355545890316689872e-03
1.026205282112850048e-08,3.537853086408350185e-03
1.028205682272910072e-08,3.785333905191410209e-03
1.030206082432969930e-08,4.088283425878049687e-03
1.032206482593040046e-08,4.432211365936369885e-03
1.034206882753100070e-08,4.798726133133750238e-03
1.036207282913170020e-08,5.166683401427890100e-03
1.038207683073230045e-08,5.513524426494740248e-03
1.040208083233290069e-08,5.816717337331500301e-03
1.042208483393360019e-08,6.055208290222910232e-03
1.044208883553420043e-08,6.210789033235089573e-03
1.046209283713489993e-08,6.269293100008449873e-03
1.048209683873550017e-08,6.221544141830310376e-03
1.050210084033610041e-08,6.063996069791500153e-03
1.052210484193679992e-08,5.799024656188610238e-03
1.054210884353740016e-08,5.434852737138380283e-03
1.056211284513809966e-08,4.985114709611719770e-03
1.058211684673869990e-08,4.468089104891099887e-03
1.060212084833930014e-08,3.905649159864529787e-03
1.062212484993999964e-08,3.321999140101949965e-03
1.064212885154059988e-08,2.742277553296680170e-03
1.066213285314129939e-08,2.191116476645799983e-03
1.068213685474189963e-08,1.691248500416620048e-03
1.070214085634249987e-08,1.262249130462140016e-03
1.072214485794319937e-08,9.194931492754969795e-04
1.074214885954379961e-08,6.733890293631560444e-04
1.076215286114450077e-08,5.289369738112400122e-04
1.078215686274509935e-08,4.856347421126570038e-04
1.080216086434569960e-08,5.377325082396980154e-04
1.082216486594640075e-08,6.748150917901690488e-04
1.084216886754699934e-08,8.826685021942889476e-04
1.086217286914770050e-08,1.144369241772010080e-03
1.088217687074830074e-08,1.441520439599470061e-03
1.090218087234889932e-08,1.755549579741350107e-03
1.092218487394960048e-08,2.068978959979600116e-03
1.094218887555020072e-08,2.366582315594000039e-03
1.096219287715090022e-08,2.636349123671959897e-03
1.098219687875150046e-08,2.870191444712279823e-03
1.100220088035210070e-08,3.064345889966159798e-03
1.102220488195280021e-08,3.219444263929699835e-03
1.104220888355340045e-08,3.340249242975450086e-03
1.106221288515409995e-08,3.435074606299499955e-03
1.108221688675470019e-08,3.514931495803440189e-03
1.110222088835530043e-08,3.592461478629310149e-03
1.112222488995599993e-08,3.680732516107499980e-03
1.114222889155660018e-08,3.791984253382679835e-03
1.116223289315729968e-08,3.936413604960839821e-03
1.118223689475789992e-08,4.121090063468540315e-03
1.120224089635850016e-08,4.349082541339830375e-03
1.122224489795919966e-08,4.618866305934080270e-03
1.124224889955979990e-08,4.924060498559829774e-03
1.126225290116049941e-08,5.253524973567769672e-03
1.128225690276109965e-08,5.591821143695010175e-03
1.130226090436169989e-08,5.920016728146640372e-03
1.132226490596239939e-08,6.216790392382410234e-03
1.134226890756299963e-08,6.459770828154479984e-03
1.136227290916370079e-08,6.627027293604519781e-03
1.138227691076429937e-08,6.698616225576809954e-03
1.140228091236489961e-08,6.658082143286000315e-03
1.142228491396560077e-08,6.493811201288040430e-03
1.144228891556619936e-08,6.200142522033010202e-03
1.146229291716690051e-08,5.778155520990950131e-03
1.148229691876750076e-08,5.236070095727169901e-03
1.150230092036809934e-08,4.589219682416129965e-03
1.152230492196880050e-08,3.859583383707679977e-03
1.154230892356940074e-08,3.074891019787760141e-03
1.156231292517010024e-08,2.267342312288010003e-03
1.158231692677070048e-08,1.472006734761429963e-03
